id,name,collection-year-start,publication-year,coverage,notes
hfd-tithe-maps,Herefordshire Tithe Maps,1837,1845,Herefordshire,Georectified scans of tithe maps and apportionments.
hfd-aerofilms,Aerofilms Archive,1920,1986,Herefordshire,Historic aerial photography collection.
hfd-hedgerow-surveys,Multi-decadal Hedgerow Surveys,1990,2025,Herefordshire,Long-term ecological habitat monitoring data.
hfd-pro-e112,Exchequer Records (E112),1558,1702,Herefordshire,Mediaeval and early modern legal document scans and transcriptions.
